player_name,matches_played,role,total_runs,career_average,career_strike_rate,total_wickets,career_economy,total_4s,total_6s,runs_last_7,avg_last_7,strike_rate_last_7,wickets_last_7,economy_last_7,4s_6s_last_7,dot_ball_pct_last_7,player_consistency_score
JP Duminy,79,Batsman,2029,25.68,120.77,23,7.25,126,79,123,12.3,99.19,0,0.0,10,29.84,37.34
DJ Willey,11,Bowler,53,4.82,82.81,6,7.52,7,0,53,7.57,82.81,4,6.46,7,42.23,29.91
DR Shorey,2,All-rounder,13,6.5,65.0,0,0.0,0,1,13,6.5,65.0,0,0.0,1,45.0,11.82
M Prasidh Krishna,59,Bowler,9,0.15,37.5,66,8.31,0,0,9,0.64,37.5,16,6.48,0,45.96,46.16
MM Ali,67,All-rounder,1167,17.42,134.91,38,6.95,95,67,133,13.3,109.92,5,7.29,15,31.65,31.7
P Chopra,1,All-rounder,8,8.0,133.33,0,0.0,2,0,8,8.0,133.33,0,0.0,2,66.67,20.2
JPR Scantlebury-Searles,3,Bowler,8,2.67,133.33,2,11.87,0,1,8,2.67,133.33,2,11.87,1,19.61,19.49
Abhishek Sharma,72,Batsman,1617,22.46,151.83,11,8.77,159,84,210,17.5,170.73,2,8.89,36,33.17,59.9
S Lamichhane,9,Bowler,0,0.0,0.0,13,8.45,0,0,0,0.0,0.0,11,9.09,0,34.76,32.65
CJ Dala,1,All-rounder,0,0.0,0.0,0,10.74,0,0,0,0.0,0.0,0,10.74,0,36.84,10.53
SP Goswami,21,All-rounder,293,13.95,95.44,0,0.0,32,3,73,10.43,101.39,0,0.0,8,30.56,12.92
KK Ahmed,66,Bowler,2,0.03,22.22,86,8.59,0,0,2,0.17,22.22,8,9.42,0,44.3,30.63
SO Hetmyer,74,Batsman,1436,19.41,144.61,0,0.0,91,91,125,20.83,147.06,0,0.0,16,23.53,42.78
S Dube,71,Batsman,1744,24.56,137.43,5,9.74,103,114,214,15.29,126.63,1,12.59,26,26.82,56.38
Navdeep Saini,31,Bowler,33,1.06,86.84,24,8.52,3,0,33,3.0,86.84,7,10.98,3,30.25,24.61
JM Bairstow,50,Batsman,1589,31.78,140.37,0,0.0,166,69,217,31.0,148.63,0,0.0,33,36.99,56.52
CA Ingram,15,All-rounder,205,13.67,112.02,0,0.0,22,5,82,11.71,105.13,0,0.0,11,47.44,16.1
KMA Paul,8,Bowler,18,2.25,69.23,9,7.97,1,1,18,2.25,69.23,8,8.18,2,30.65,26.29
Rasikh Salam,13,Bowler,40,3.08,100.0,10,10.09,5,0,40,4.0,100.0,7,9.78,5,32.02,24.94
N Pooran,81,Batsman,2146,26.49,160.39,0,0.0,145,158,232,33.14,174.44,0,0.0,38,36.09,64.74
SM Curran,62,Bowler,904,14.58,128.23,58,9.42,75,37,139,19.86,110.32,4,11.24,14,27.76,20.23
CV Varun,79,Bowler,25,0.32,51.02,94,7.46,2,0,15,1.07,45.45,8,6.65,2,42.93,34.33
GC Viljoen,6,Bowler,3,0.5,42.86,7,9.41,0,0,3,0.5,42.86,7,9.41,0,30.07,27.83
NS Naik,4,All-rounder,31,7.75,58.49,0,0.0,2,0,31,7.75,58.49,0,0.0,2,50.94,7.99
GH Vihari,23,All-rounder,284,12.35,85.8,1,6.7,23,1,44,3.67,84.62,1,6.7,6,45.26,22.07
P Ray Barman,1,Batsman,19,19.0,76.0,0,14.0,2,0,19,19.0,76.0,0,0.0,2,44.0,40.6
MJ Santner,27,Bowler,109,4.04,101.87,19,7.3,6,6,42,3.82,113.51,4,7.76,5,29.35,23.85
JP Behrendorff,17,Bowler,6,0.35,66.67,19,8.91,0,0,6,0.86,66.67,7,8.43,0,32.56,29.69
SC Kuggeleijn,2,Bowler,0,0.0,0.0,2,8.52,0,0,0,0.0,0.0,2,8.52,0,34.0,30.74
AS Joseph,22,Bowler,27,1.23,84.38,21,9.34,3,0,27,2.45,84.38,2,11.02,3,30.64,16.64
HF Gurney,8,Bowler,1,0.12,20.0,7,8.49,0,0,1,0.14,20.0,5,8.92,0,30.2,24.96
S Midhun,1,All-rounder,0,0.0,0.0,0,13.38,0,0,0,0.0,0.0,0,13.38,0,23.08,8.46
SD Lad,1,All-rounder,15,15.0,115.38,0,0.0,1,1,15,15.0,115.38,0,0.0,2,61.54,21.65
R Parag,70,Batsman,1411,20.16,131.99,4,9.64,101,76,172,17.2,153.57,0,8.85,25,29.38,54.32
JL Denly,1,All-rounder,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,100.0,5.0
LS Livingstone,46,Batsman,1026,22.3,151.33,13,8.8,70,73,87,9.67,122.54,4,7.65,11,31.95,31.47
AJ Turner,6,All-rounder,24,4.0,77.42,0,0.0,0,2,24,4.0,77.42,0,0.0,2,41.94,7.74
Arshdeep Singh,73,Bowler,31,0.42,64.58,87,8.65,4,0,19,1.58,54.29,9,8.48,3,42.63,32.59
DW Steyn,95,Bowler,167,1.76,102.45,97,6.79,14,3,32,2.91,118.52,5,9.75,4,32.97,24.02
Harpreet Brar,41,Bowler,233,5.68,115.92,28,7.89,19,9,75,5.77,127.12,6,8.91,10,31.1,24.19
SE Rutherford,16,Batsman,307,19.19,122.31,1,7.83,18,21,201,15.46,139.58,0,0.0,28,27.78,57.4
Y Prithvi Raj,2,All-rounder,0,0.0,0.0,1,10.36,0,0,0,0.0,0.0,1,10.36,0,26.47,14.62
O Thomas,4,Bowler,0,0.0,0.0,5,8.1,0,0,0,0.0,0.0,5,8.1,0,26.98,28.85
AS Roy,10,All-rounder,26,2.6,108.33,5,8.07,3,0,26,3.25,108.33,3,8.85,3,36.22,20.25
Gurkeerat Singh,32,Batsman,511,15.97,117.2,5,7.1,55,11,142,10.92,104.41,0,0.0,18,36.03,37.52
S Sandeep Warrier,10,Bowler,0,0.0,0.0,8,8.76,0,0,0,0.0,0.0,6,9.96,0,41.75,25.38
P Simran Singh,43,Batsman,1048,24.37,148.23,0,0.0,112,55,218,31.14,161.48,0,0.0,35,31.85,61.17
J Suchith,21,Bowler,70,3.33,112.9,19,8.35,6,3,36,3.27,90.0,7,7.91,3,38.07,29.01
JL Pattinson,10,Bowler,15,1.5,115.38,11,8.68,2,0,15,1.88,115.38,8,8.84,2,30.43,28.24
A Nortje,47,Bowler,49,1.04,96.08,61,8.81,6,0,37,3.08,105.71,8,12.23,5,29.53,25.62
SS Cottrell,6,Bowler,0,0.0,0.0,6,8.11,0,0,0,0.0,0.0,6,8.11,0,45.11,30.68
Ravi Bishnoi,74,Bowler,32,0.43,59.26,71,7.93,2,0,13,0.93,59.09,5,9.35,1,30.68,22.24
T Banton,2,All-rounder,18,9.0,81.82,0,0.0,1,1,18,9.0,81.82,0,0.0,2,50.0,15.18
I Udana,10,Bowler,15,1.5,136.36,8,9.43,1,1,15,1.88,136.36,3,8.97,2,27.59,20.66
D Padikkal,72,Batsman,1789,24.85,121.04,0,0.0,191,55,220,31.43,151.72,0,0.0,33,31.72,60.72
JO Holder,46,Bowler,259,5.63,119.35,53,8.52,13,18,38,3.45,131.03,3,10.41,4,20.86,16.97
YBK Jaiswal,61,Batsman,1963,32.18,146.17,0,36.0,231,84,326,40.75,149.54,0,36.0,48,32.42,77.4
RD Gaikwad,70,Batsman,2502,35.74,134.3,0,0.0,231,95,164,23.43,130.16,0,0.0,21,35.71,44.27
TU Deshpande,44,Bowler,28,0.64,116.67,48,9.33,2,1,27,2.7,128.57,3,10.12,3,22.58,17.62
KL Nagarkoti,12,All-rounder,22,1.83,64.71,5,9.31,1,0,22,2.0,64.71,1,9.84,1,33.33,15.3
Abdul Samad,47,All-rounder,692,14.72,147.86,2,12.53,43,46,91,7.58,175.0,2,12.53,12,21.1,27.38
PK Garg,19,All-rounder,273,14.37,110.53,0,0.0,16,9,133,19.0,111.76,0,0.0,12,34.45,19.55
JR Philippe,5,Batsman,78,15.6,97.5,0,0.0,9,1,78,15.6,97.5,0,0.0,10,42.5,31.85
Kartik Tyagi,20,Bowler,13,0.65,81.25,15,9.43,1,0,13,1.3,81.25,2,10.7,1,27.92,18.6
JDS Neesham,14,Bowler,92,6.57,98.92,8,9.24,6,2,50,6.25,106.38,6,9.05,4,30.86,24.47
Shahbaz Ahmed,51,All-rounder,545,10.69,114.74,21,9.36,29,25,55,6.11,90.16,4,8.89,4,35.71,23.66
DR Sams,16,Bowler,44,2.75,91.67,14,8.14,1,3,26,3.71,78.79,8,6.94,2,43.13,34.73
AT Carey,3,All-rounder,32,10.67,110.34,0,0.0,0,1,32,10.67,110.34,0,0.0,1,20.69,15.67
